iteration,rows_retrieved,time_to_get - pods to host,time_to_get - localhost,time_to_get - pods to kube vm
1,500000,5.435399011,0.6349391667,
2,500000,19.18738427,0.5908139423,
3,500000,6.007963881,0.5462871417,
4,500000,5.374494442,0.5283943126,
5,500000,5.713563514,0.5557187507,
6,500000,5.34444089,0.5466438131,
7,500000,5.36229769,0.5163805382,
8,500000,5.398703753,0.5375397364,
9,500000,5.388090565,0.5327112274,
10,500000,5.324338431,0.5506536653,
11,500000,5.343335881,0.5517418003,
12,500000,5.486051907,0.5814585648,
13,500000,5.34501922,0.5130432509,
14,500000,13.26908236,0.5245150542,
15,500000,5.448819353,0.5383148296,
16,500000,5.354429485,0.5638369638,
17,500000,5.336659977,0.5505239377,
18,500000,5.351277645,0.5279373126,
19,500000,5.410068821,0.5192363309,
20,500000,5.399977418,0.5575074367,
21,500000,5.344430903,0.5680528572,
22,500000,5.781084638,0.5458588721,
23,500000,5.54445883,0.5491881287,
24,500000,5.792216785,0.5481383763,
25,500000,5.551201846,0.5664390372,
26,500000,5.83601808,0.5473853834,
27,500000,9.045102878,0.5280379187,
28,500000,5.598922933,0.5595208192,
29,500000,5.535629421,0.6101855803,
30,500000,5.805765029,0.5501799937,
31,500000,5.836000569,0.5265345983,
32,500000,6.568275756,0.5504205795,
33,500000,5.545929557,0.5241478132,
34,500000,5.63720537,0.5365588395,
35,500000,6.478397788,0.5705952933,
36,500000,5.577041831,0.5357004348,
37,500000,6.513447073,0.5975549947,
38,500000,5.841834461,0.559302737,
39,500000,5.817235427,0.5111824833,
40,500000,15.25565251,0.5449146954,
41,500000,13.56661607,0.5604656646,
42,500000,5.577467044,0.5489833681,
43,500000,5.910197285,0.5226817746,
44,500000,5.77119097,0.5314864805,
45,500000,5.847779526,0.5649027182,
46,500000,5.596579004,0.5269239014,
47,500000,5.855004675,0.5555109419,
48,500000,5.778985953,0.545157494,
49,500000,5.792460845,0.5526994551,
50,500000,5.602945635,0.5681012906,
51,500000,5.908906441,0.5270984871,
52,500000,5.893145898,0.5752989966,
53,500000,12.09815833,0.527345717,
54,500000,5.859169881,0.5264876094,
55,500000,14.4428036,0.5476001035,
56,500000,5.644513379,0.5657911999,
57,500000,5.828305829,0.5354881762,
58,500000,12.28916294,0.5340691023,
59,500000,5.82464767,0.591840703,
60,500000,12.95646878,0.5444109691,
