iteration,rows_retrieved,time_to_get - pods to host,time_to_get - localhost,time_to_get - pods to kube vm
1,10000,0.9351862809,0.03277353849,
2,10000,0.8439757293,0.02417179011,
3,10000,0.8297518957,0.02672986221,
4,10000,0.8367805546,0.02532045823,
5,10000,0.8542993627,0.02332738321,
6,10000,0.8477393733,0.02586141322,
7,10000,0.8332202351,0.02909735776,
8,10000,0.8888730863,0.02536936942,
9,10000,2.321602788,0.02573762927,
10,10000,0.8459464908,0.02487433236,
11,10000,1.93301805,0.027316547,
12,10000,1.849111737,0.02094743866,
13,10000,1.838638494,0.02289938089,
14,10000,1.789669958,0.026467341,
15,10000,1.842015919,0.01541615557,
16,10000,1.775915674,0.01729434356,
17,10000,1.775228682,0.01957946736,
18,10000,1.799929196,0.0254170699,
19,10000,1.807877379,0.02362396102,
20,10000,1.802719112,0.02535013203,
21,10000,1.852867373,0.02393240668,
22,10000,1.819301517,0.02659537829,
23,10000,1.80103315,0.02508876286,
24,10000,1.796757732,0.02203240804,
25,10000,1.801797963,0.02147581056,
26,10000,1.790711952,0.02401736658,
27,10000,1.979039698,0.02777710464,
28,10000,1.802360448,0.02366393525,
29,10000,1.853638751,0.02571904566,
30,10000,1.799958025,0.0250433255,
31,10000,1.788850196,0.02390061691,
32,10000,1.802301123,0.02625731472,
33,10000,1.790300204,0.02484422643,
34,10000,1.821853858,0.02598848473,
35,10000,2.241927644,0.01961165946,
36,10000,1.87810862,0.02631252818,
37,10000,1.874747081,0.02530948631,
38,10000,1.877688424,0.02497325558,
39,10000,1.592749994,0.02472096123,
40,10000,3.749677292,0.02416195627,
41,10000,6.633625926,0.02540633734,
42,10000,6.726951878,0.02328668069,
43,10000,4.119693737,0.02469808049,
44,10000,1.064813999,0.0228323983,
45,10000,0.9799259566,0.02312361449,
46,10000,1.165142955,0.02424832061,
47,10000,1.105937609,0.02413965855,
48,10000,1.160715582,0.02539318521,
49,10000,1.207418835,0.02794462722,
50,10000,1.38264,0.02646637056,
51,10000,1.642364172,0.0256514987,
52,10000,1.607548026,0.02552136779,
53,10000,1.601638619,0.02477360237,
54,10000,1.576917056,0.02769462112,
55,10000,1.676693876,0.02488717344,
56,10000,5.03331396,0.02315427177,
57,10000,3.418938184,0.02481000312,
58,10000,2.284713786,0.02408074774,
59,10000,4.158529391,0.02605249267,
60,10000,5.615484293,0.01718471851,
